,Name,Annotation,Short Name,InChI,MH+ Fragment,MH+ Isotope,fragment/isotope,MV,logD,abs_mob,zeff,RRF_Measured,RRF_Predicted,InChI_Key,cid,complexity,exact_mass,h_bond_acceptor_count,h_bond_donor_count,heavy_atom_count,rotatable_bond_count,tpsa,xlogp
0,L-Alanine ,a,Ala ,"InChI=1S/C3H7NO2/c1-2(4)3(5)6/h2H,4H2,1H3,(H,5,6)/t2-/m0/s1",90,,,70.3,-2.79,3.14,0.764,0.0595,-1.36,QNAYBMKLOCPYGJ-REOHCLBHSA-N,5950,61.8,89.047678,3,2,6,1,63.3,-3.0
1,β-Alanine,a,β-Ala,"InChI=1S/C3H7NO2/c4-2-1-3(5)6/h1-2,4H2,(H,5,6)",90,,,70.4,-3.01,4.14,0.995,0.0503,-1.27,UCMIRNVEIXFBKS-UHFFFAOYSA-N,239,52.8,89.047678,3,2,6,2,63.3,-3.0
2,γ-Aminobutyric acid,a,GABA,"InChI=1S/C4H9NO2/c5-3-1-2-4(6)7/h1-3,5H2,(H,6,7)",104,,,89.2,-3.1,0.000409,1.0,0.0903,-0.476,BTCSSZJGUNDROE-UHFFFAOYSA-N,119,62.7,103.063329,3,2,7,3,63.3,-3.2
3,Histamine,,HisN,"InChI=1S/C5H9N3/c6-2-1-5-3-7-4-8-5/h3-4H,1-2,6H2,(H,7,8)",112,,,98.5,-2.31,0.000736,2.0,0.111,0.615,NTYJJOPFIAHURM-UHFFFAOYSA-N,774,64.7,111.079647,2,2,8,2,54.7,-0.7
4,Creatine,a,Crea,"InChI=1S/C4H9N3O2/c1-7(4(5)6)2-3(8)9/h2H2,1H3,(H3,5,6)(H,8,9)",114,,,88.3,-1.76,0.000449,1.0,0.229,-0.0944,CVSVTCORWBXHQV-UHFFFAOYSA-N,586,134.0,131.069477,3,3,9,3,90.4,-1.2
5,L-Valine,,Val,"InChI=1S/C5H11NO2/c1-3(2)4(6)5(7)8/h3-4H,6H2,1-2H3,(H,7,8)/t4-/m0/s1",118,,,107.0,-2.3,0.000232,0.764,0.188,0.263,KZSNJWFQEVHDMF-BYPYZUCNSA-N,6287,90.4,117.078979,3,2,8,2,63.3,-2.3
6,L-Threonine,a,Thr,"InChI=1S/C4H9NO3/c1-2(6)3(5)4(7)8/h2-3,6H,5H2,1H3,(H,7,8)/t2-,3+/m1/s1",120,,,93.2,-2.92,0.000449,0.691,0.264,-0.487,AYFVYJQAPQTCCC-GBXIJSLDSA-N,6288,93.3,119.058243,4,3,8,2,83.6,-2.9
7,Nicotinamide,,NAm,"InChI=1S/C6H6N2O/c7-6(9)5-2-1-3-8-4-5/h1-4H,(H2,7,9)",123,,,94.6,0.4,0.000439,1.0,0.322,0.755,DFPAKSUCGFBDDF-UHFFFAOYSA-N,936,114.0,122.048013,2,1,9,1,56.0,-0.4
8,Nicotinic acid,,NA,"InChI=1S/C6H5NO2/c8-6(9)5-2-1-3-7-4-5/h1-4H,(H,8,9)",124,,,94.4,0.39,0.000298,0.759,0.25,0.543,PVNIIMVLHYAWGP-UHFFFAOYSA-N,938,114.0,123.032028,3,1,9,1,50.2,0.4
9,L-Leucine,,Leu,"InChI=1S/C6H13NO2/c1-4(2)3-5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t5-/m0/s1",132,86,5:2,124.0,-1.52,0.000249,0.78,1.61,1.25,ROHFNLRQFUQHCH-YFKPBYRVSA-N,6106,101.0,131.094629,3,2,9,3,63.3,-1.5
10,L-Isoleucine,,Ile,"InChI=1S/C6H13NO2/c1-3-4(2)5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t4-,5-/m0/s1",132,86,5:2,125.0,-1.71,0.000249,0.776,1.57,1.25,AGPKZVBTJJNPAG-WHFBIAKZSA-N,6306,103.0,131.094629,3,2,9,3,63.3,-1.7
11,L-Asparagine,a,Asn,"InChI=1S/C4H8N2O3/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H2,6,7)(H,8,9)/t2-/m0/s1",133,,,95.1,-3.82,0.000247,0.764,0.406,-0.645,DCXYFEDJOCDNAF-REOHCLBHSA-N,6267,134.0,132.053492,4,3,9,3,106.0,-3.4
12,L-Aspartic acid,a,Asp,"InChI=1S/C4H7NO4/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H,6,7)(H,8,9)/t2-/m0/s1",134,,,93.8,-3.89,0.000233,0.471,0.287,-0.741,CKLJMWTZIZZHCS-REOHCLBHSA-N,5960,133.0,133.037508,5,3,9,3,101.0,-2.8
13,Adenine,,Ad,"InChI=1S/C5H5N5/c6-4-3-5(9-1-7-3)10-2-8-4/h1-2H,(H3,6,7,8,9,10)",136,,,89.4,-0.08,0.000393,1.0,0.766,0.332,GFFGJBXGBJISGV-UHFFFAOYSA-N,190,127.0,135.054495,4,2,10,0,80.5,-0.1
14,L-Homocysteine,,HCy,"InChI=1S/C4H9NO2S/c5-3(1-2-8)4(6)7/h3,8H,1-2,5H2,(H,6,7)",136,,,105.0,-2.56,0.000235,0.72,0.168,0.116,FFFHZYDWPBMWHY-UHFFFAOYSA-N,778,86.1,135.0354,4,3,8,3,64.3,-3.4
15,p-Benzoic acid,,PABA,"InChI=1S/C7H7NO2/c8-6-3-1-5(2-4-6)7(9)10/h1-4H,8H2,(H,9,10)",138,,,102.0,0.8,0.000279,0.857,0.718,0.962,ALYNCZNDIQEVRV-UHFFFAOYSA-N,978,128.0,137.047678,3,2,10,1,63.3,0.8
16,Tyramine,,TyrN,"InChI=1S/C8H11NO/c9-6-5-7-1-3-8(10)4-2-7/h1-4,10H,5-6,9H2",138,121,1:2,120.0,-2.0,0.00036,1.0,1.27,1.11,DZGWFCGJZKJUFP-UHFFFAOYSA-N,5610,87.3,137.084064,2,2,10,2,46.2,1.1
17,L-Glutamine,,Gln,"InChI=1S/C5H10N2O3/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H2,7,8)(H,9,10)/t3-/m0/s1",147,130,5:2,114.0,-3.64,0.000235,0.788,0.703,0.219,ZDXPYRJPNDTMRX-VKHMYHEASA-N,5961,146.0,146.069142,4,3,10,4,106.0,-3.1
18,L-Lysine,,Lys,"InChI=1S/C6H14N2O2/c7-4-2-1-3-5(8)6(9)10/h5H,1-4,7-8H2,(H,9,10)/t5-/m0/s1",147,130,7:2,131.0,-3.05,0.000541,1.61,1.19,1.55,KDXKERNSBIXSRK-YFKPBYRVSA-N,5962,106.0,146.105528,4,3,10,5,89.3,-3.0
19,L-Glutamic acid,,Glu,"InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)/t3-/m0/s1",148,130,9:2,113.0,-3.69,0.000234,0.71,0.749,0.16,WHUUTDBJXJRKMK-VKHMYHEASA-N,33032,145.0,147.053158,5,3,10,4,101.0,-3.7
20,L-Methionine,,Met,"InChI=1S/C5H11NO2S/c1-9-3-2-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)/t4-/m0/s1",150,,,127.0,-1.88,0.000232,0.686,0.832,1.26,FFEARJCKVFRZRR-BYPYZUCNSA-N,6137,97.0,149.05105,4,2,9,4,88.6,-1.9
21,Guanine,,Gu,"InChI=1S/C5H5N5O/c6-5-9-3-2(4(11)10-5)7-1-8-3/h1H,(H4,6,7,8,9,10,11)",152,,,95.6,-0.95,0.00041,1.0,0.112,0.296,UYTPUPDQBNUYGX-UHFFFAOYSA-N,764,225.0,151.04941,2,3,11,0,96.2,-1.0
22,Dopamine,,DopN,"InChI=1S/C8H11NO2/c9-4-3-6-1-2-7(10)8(11)5-6/h1-2,5,10-11H,3-4,9H2",154,137,1:1,125.0,-2.37,0.00033,1.0,0.781,1.18,VYFYYTLLBUKUHU-UHFFFAOYSA-N,681,119.0,153.078979,3,3,11,2,66.5,-1.0
23,L-Histidine,,His,"InChI=1S/C6H9N3O2/c7-5(6(10)11)1-4-2-8-3-9-4/h2-3,5H,1,7H2,(H,8,9)(H,10,11)/t5-/m0/s1",156,,,118.0,-3.32,0.000474,1.61,1.4,0.824,HNDVDQJCIGZPNO-YFKPBYRVSA-N,6274,151.0,155.069477,4,3,11,3,92.0,-3.2
24,D-Ala-D-Ala,*,DiAla,"InChI=1S/C6H12N2O3/c1-3(7)5(9)8-4(2)6(10)11/h3-4H,7H2,1-2H3,(H,8,9)(H,10,11)/t3-,4-/m1/s1",161,,,133.0,-2.63,0.000246,0.952,1.0,1.0,DEFJQIDDEAULHB-QWWZWVQMSA-N,5460362,169.0,160.084792,4,3,11,3,92.4,-3.3
25,Tryptamine,,TrpN,"InChI=1S/C10H12N2/c11-6-5-8-7-12-10-4-2-1-3-9(8)10/h1-4,7,12H,5-6,11H2",161,144,2:5,142.0,-1.91,0.000357,1.0,2.93,2.09,APJYDQYYACXCRM-UHFFFAOYSA-N,1150,147.0,160.100048,1,2,12,2,41.8,1.6
26,L-Carnitine,,C0,"InChI=1S/C7H15NO3/c1-8(2,3)5-6(9)4-7(10)11/h6,9H,4-5H2,1-3H3/t6-/m1/s1",162,,,155.0,-2.49,0.000323,1.0,2.82,2.46,PHIQHXFUZVPYII-ZCFIWIBFSA-N,10917,134.0,161.105193,3,1,11,3,60.4,-0.2
27,L-Phenylalanine,,Phe,"InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)/t8-/m0/s1",166,120,7:2,140.0,-1.38,0.000222,0.71,2.98,1.96,COLNVLDHVKWLRT-QMMMGPOBSA-N,6140,153.0,165.078979,3,2,12,3,63.3,-1.5
28,L-Arginine,,Arg,"InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)/t4-/m0/s1",175,,,142.0,-4.2,0.000497,1.53,2.38,1.67,ODKSFYDXXFIFQN-BYPYZUCNSA-N,6322,176.0,174.111676,4,4,12,5,128.0,-4.2
29,Serotonin,,Sero,"InChI=1S/C10H12N2O/c11-4-3-7-6-12-10-2-1-8(13)5-9(7)10/h1-2,5-6,12-13H,3-4,11H2",177,160,2:5,147.0,-2.18,0.000329,1.0,1.24,2.2,QZAYGJVTTNCVMB-UHFFFAOYSA-N,5202,174.0,176.094963,2,3,13,2,62.0,0.2
30,L-Methionine sulfone,,MetS,"InChI=1S/C5H11NO4S/c1-11(9,10)3-2-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)/t4-/m0/s1",182,,,138.0,-1.96,0.000195,0.629,1.56,1.67,UCUNFLYVYCGDHP-BYPYZUCNSA-N,445282,227.0,181.040879,5,2,11,4,106.0,-3.1
31,m-L-Tyrosine,,mTyr,"InChI=1S/C9H11NO3/c10-8(9(12)13)5-6-2-1-3-7(11)4-6/h1-4,8,11H,5,10H2,(H,12,13)/t8-/m0/s1",182,,,143.0,-1.55,0.000211,0.71,2.26,2.03,JZKXXXDKRQWDET-QMMMGPOBSA-N,6950577,178.0,181.073893,3,2,13,2,88.0,-1.1
32,o-L-Tyrosine,,oTyr,"InChI=1S/C9H11NO3/c10-7(9(12)13)5-6-3-1-2-4-8(6)11/h1-4,7,11H,5,10H2,(H,12,13)/t7-/m0/s1",182,,,144.0,-1.44,0.000233,0.788,2.25,2.13,WRFPVMFCRNYQNR-ZETCQYMHSA-N,6950573,178.0,181.073893,3,2,13,2,88.0,-1.0
33,p-L-Tyrosine,,pTyr,"InChI=1S/C9H11NO3/c10-8(9(12)13)5-6-1-3-7(11)4-2-6/h1-4,8,11H,5,10H2,(H,12,13)/t8-/m0/s1",182,,,145.0,-2.3,0.000216,0.734,1.68,1.92,OUYCCCASQSFEME-QMMMGPOBSA-N,6057,176.0,181.073893,4,3,13,3,83.6,-2.3
