Name,Short Name,InChI,MH+,MV,logD,abs_mob,zeff,RRF_Measured,RRF_Predicted,InChI_Key,Match,GENERIC_NAME,CHEMICAL_FORMULA,INCHI_KEY,EXACT_MASS,ALOGPS_LOGP,ALOGPS_LOGS,ALOGPS_SOLUBILITY,MOLECULAR_WEIGHT,SMILES,HMDB_ID,INCHI_IDENTIFIER,JCHEM_ACCEPTOR_COUNT,JCHEM_ACIDIC_PKA,JCHEM_BASIC_PKA,JCHEM_DONOR_COUNT,JCHEM_LOGP,JCHEM_PHYSIOLOGICAL_CHARGE,JCHEM_POLARIZABILITY,JCHEM_POLAR_SURFACE_AREA,JCHEM_REFRACTIVITY,JCHEM_ROTATABLE_BOND_COUNT,IUPAC_NAME,TRADITIONAL_IUPAC_NAME,SYNONYMS
L-Ornithine,Orn,"InChI=1S/C5H12N2O2/c6-3-1-2-4(7)5(8)9/h4H,1-3,6-7H2,(H,8,9)/t4-/m0/s1",133,113,-4.22,0.000686,1.82,0.281,0.631,InChIKey=AHLPHDHHMVZTML-BYPYZUCNSA-N,1,Ornithine,C5H12N2O2,InChIKey=AHLPHDHHMVZTML-BYPYZUCNSA-N,132.089877638,-3.6,0.11,172 g/L,132.161,NCCC[C@H](N)C(O)=O,HMDB00214,"InChI=1S/C5H12N2O2/c6-3-1-2-4(7)5(8)9/h4H,1-3,6-7H2,(H,8,9)/t4-/m0/s1",4,2.67,10.29,3,-3.7,1,13.94,89.34,33.21,4,"(2S)-2,5-diaminopentanoic acid",L-ornithine,"(+)-S-Ornithine;(S)-2,5-Diaminopentanoate;(S)-2,5-Diaminopentanoic acid;(S)-a,D-Diaminovalerate;(S)-a,D-Diaminovaleric acid;(S)-Ornithine;5-Amino-L-Norvaline;L-(-)-Ornithine;L-Ornithine"
N-Methyl-Aspartic acid,MeAsp,"InChI=1S/C5H9NO4/c1-6-3(5(9)10)2-4(7)8/h3,6H,2H2,1H3,(H,7,8)(H,9,10)/t3-/m1/s1",148,114,-2.58,0.000348,0.71,0.842,0.667,InChIKey=HOKKHZGPKSLGJE-GSVOUGTGSA-N,1,N-Methyl-D-aspartic acid,C5H9NO4,InChIKey=HOKKHZGPKSLGJE-GSVOUGTGSA-N,147.053157781,-2.6,-0.56,40.6 g/L,147.1293,CN[C@H](CC(O)=O)C(O)=O,HMDB02393,"InChI=1S/C5H9NO4/c1-6-3(5(9)10)2-4(7)8/h3,6H,2H2,1H3,(H,7,8)(H,9,10)/t3-/m1/s1",5,1.46,10.34,3,-3.3,-1,13.18,86.63,31.31,4,(2R)-2-(methylamino)butanedioic acid,N-methyl-D-aspartate,N-Me-D-Asp-OH;N-Methyl D-aspartate;N-Methyl D-aspartic acid;N-Methyl-D-aspartate;NMDA
3-Methyl-L-Histidine ,MeHis,"InChI=1S/C7H11N3O2/c1-10-4-9-3-5(10)2-6(8)7(11)12/h3-4,6H,2,8H2,1H3,(H,11,12)/t6-/m0/s1",170,144,-2.94,0.00062,1.49,1.4,2.28,InChIKey=JDHILDINMRGULE-LURJTMIESA-N,1,3-Methylhistidine,C7H11N3O2,InChIKey=JDHILDINMRGULE-LURJTMIESA-N,169.085126611,-2.9,-1.4,6.93 g/L,169.1811,CN1C=NC=C1C[C@H](N)C(O)=O,HMDB00479,"InChI=1S/C7H11N3O2/c1-10-4-9-3-5(10)2-6(8)7(11)12/h3-4,6H,2,8H2,1H3,(H,11,12)/t6-/m0/s1",4,1.96,9.43,2,-3.4,0,16.58,81.14,42.96,3,(2S)-2-amino-3-(1-methyl-1H-imidazol-5-yl)propanoic acid,3-methylhistidine,(2S)-2-amino-3-(1-methyl-1H-imidazol-5-yl)propanoate;(2S)-2-amino-3-(1-methyl-1H-imidazol-5-yl)propanoic acid;3-Methyl-L-histidine;3-Methylhistidine;3-N-Methyl-L-histidine;L-3-Methylhistidine;N(Pai)-Methyl-L-histidine;N(Pi)-methyl-L-histidine;N(Pros)-methyl-L-histidine;N3-Methyl-L-histidine;Pi-Methyl-L-histidine;Tau-Methyl-L-histidine;Tau-methylhistidine
L-Theanine ,Thea,"InChI=1S/C7H14N2O3/c1-2-9-6(10)4-3-5(8)7(11)12/h5H,2-4,8H2,1H3,(H,9,10)(H,11,12)",175,150,-2.56,0.000304,0.73,2.32,2.19,InChIKey=DATAGRPVKZEWHA-UHFFFAOYSA-N,1,L-Theanine,C7H14N2O3,InChIKey=DATAGRPVKZEWHA-UHFFFAOYSA-N,174.100442324,-2.6,-0.56,48.3 g/L,174.1977,CCNC(=O)CCC(N)C(O)=O,HMDB34365,"InChI=1S/C7H14N2O3/c1-2-9-6(10)4-3-5(8)7(11)12/h5H,2-4,8H2,1H3,(H,9,10)(H,11,12)",4,2.35,9.31,3,-3.4,0,18.04,92.42,42.76,5,2-amino-4-(ethylcarbamoyl)butanoic acid,2-amino-4-(ethylcarbamoyl)butanoic acid,(+)-Theanine;L-gamma-Glutamylethylamide;L-Theanine;N-gamma-Ethyl-L-glutamine;Theanine
L-Citrulline,Cit,"InChI=1S/C6H13N3O3/c7-4(5(10)11)2-1-3-9-6(8)12/h4H,1-3,7H2,(H,10,11)(H3,8,9,12)/t4-/m0/s1",176,140,-3.19,0.000314,0.83,1.16,1.6,InChIKey=RHGKLRLOHDJJDR-BYPYZUCNSA-N,1,Citrulline,C6H13N3O3,InChIKey=RHGKLRLOHDJJDR-BYPYZUCNSA-N,175.095691297,-3.3,-0.9,21.8 g/L,175.1857,N[C@@H](CCCNC(N)=O)C(O)=O,HMDB00904,"InChI=1S/C6H13N3O3/c7-4(5(10)11)2-1-3-9-6(8)12/h4H,1-3,7H2,(H,10,11)(H3,8,9,12)/t4-/m0/s1",4,2.27,9.23,4,-3.9,0,17.35,118.44,41.33,5,(2S)-2-amino-5-(carbamoylamino)pentanoic acid,L-citrulline,(2S)-2-amino-5-(carbamoylamino)pentanoate;(2S)-2-amino-5-(carbamoylamino)pentanoic acid;(S)-2-amino-5-(aminocarbonyl)aminopentanoate;(S)-2-amino-5-(aminocarbonyl)aminopentanoic acid;(S)-2-Amino-5-ureidopentanoate;(S)-2-Amino-5-ureidopentanoic acid;2-Amino-5-uredovalerate;2-Amino-5-uredovaleric acid;2-Amino-5-ureidovalerate;2-Amino-5-ureidovaleric acid;A-Amino-D-ureidovalerate;A-Amino-D-ureidovaleric acid;alpha-Amino-delta-ureidovalerate;alpha-Amino-delta-ureidovaleric acid;alpha-Amino-gamma-ureidovalerate;alpha-Amino-gamma-ureidovaleric acid;Amino-ureidovalerate;Amino-ureidovaleric acid;CIR;CIT;Cytrulline;D-Ureidonorvaline;delta-Ureidonorvaline;DL-citrulline;Gammaureidonorvaline;H-Cit-oh;L(+)-2-Amino-5-ureidovalerate;L(+)-2-Amino-5-ureidovaleric acid;L(+)-Citrulline;L-2-Amino-5-ureido-valerate;L-2-Amino-5-ureido-valeric acid;L-2-Amino-5-ureidovalerate;L-2-Amino-5-ureidovaleric acid;L-Citrulline;L-Cytrulline;L-N5-carbamoyl-Ornithine;N()-Carbamylornithine;N(5)-(Aminocarbonyl)-DL-Ornithine;N(delta)-Carbamylornithine;N-Carbamylornithine;N5-(Aminocarbonyl)-L-ornithine;N5-(aminocarbonyl)-Ornithine;N5-(Aminocarbonyl)ornithine;N5-Carbamoyl-L-ornithine;N5-carbamoylornithine;N5-carbamylornithine;N<SUP>5</SUP>-(aminocarbonyl)ornithine;ND-carbamylornithine;Ndelta-carbamy-ornithine;Ndelta-carbamylornithine;Ngamma-carbamylornithine;Sitrulline;Ureidonorvaline;Ureidovalerate;Ureidovaleric acid
O-Propionyl-L-Carnitine,C3,"InChI=1S/C10H19NO4/c1-5-10(14)15-8(6-9(12)13)7-11(2,3)4/h8H,5-7H2,1-4H3",218,214,-1.92,0.000256,1.0,5.23,5.74,InChIKey=UFAHZIUFPNSHSL-UHFFFAOYSA-N,1,Propionylcarnitine,C10H19NO4,InChIKey=UFAHZIUFPNSHSL-UHFFFAOYSA-N,217.131408101,-2.3,-3.2,0.15 g/L,217.2622,CCC(=O)OC(CC([O-])=O)C[N+](C)(C)C,HMDB00824,"InChI=1S/C10H19NO4/c1-5-10(14)15-8(6-9(12)13)7-11(2,3)4/h8H,5-7H2,1-4H3",3,4.19,-7.1,0,-3.7,0,22.72,66.43,77.26,7,3-(propanoyloxy)-4-(trimethylazaniumyl)butanoate,propionylcarnitine,"(+/-)-Propionylcarnitine chloride;(3-carboxy-2-hydroxypropyl)trimethyl-hydroxide Ammonium inner salt;3-Carboxy-N,N,N-trimethyl-2-(1-oxopropoxy)-1-propanaminium inner salt;L-Propionylcarnitine;O-Propanoylcarnitine;O-Propionylcarnitine;Propionyl carnitine;Propionyl-carnitine;Propionyl-L-carnitine"
L-Carnosine ,Carn,"InChI=1S/C9H14N4O3/c10-2-1-8(14)13-7(9(15)16)3-6-4-11-5-12-6/h4-5,7H,1-3,10H2,(H,11,12)(H,13,14)(H,15,16)/t7-/m0/s1",227,182,-2.89,0.00055,1.92,1.91,3.03,InChIKey=CQOVPNPJLQNMDC-ZETCQYMHSA-N,1,Carnosine,C9H14N4O3,InChIKey=CQOVPNPJLQNMDC-ZETCQYMHSA-N,226.106590334,-3,-1.3,11.1 g/L,226.2325,NCCC(=O)N[C@@H](CC1=CN=CN1)C(O)=O,HMDB00033,"InChI=1S/C9H14N4O3/c10-2-1-8(14)13-7(9(15)16)3-6-4-11-5-12-6/h4-5,7H,1-3,10H2,(H,11,12)(H,13,14)(H,15,16)/t7-/m0/s1",5,3.37,9.13,4,-4.5,0,22.37,121.1,55.56,6,(2S)-2-(3-aminopropanamido)-3-(1H-imidazol-5-yl)propanoic acid,(2S)-2-(3-aminopropanamido)-3-(3H-imidazol-4-yl)propanoic acid,b-Alanyl-L-histidine;b-Alanylhistidine;beta-Alanyl-L-histidine;beta-Alanylhistidine;Carnosine;Ignotine;Karnozin;Karnozzn;L-Carnosine;N-(3-Aminopropanoyl)histidine;N-(b-Alanyl)-L-histidine;N-b-Alanyl-L-Histidine;N-beta-Alanyl-L-Histidine;Sevitin
O-Butyryl-L-Carnitine ,C4,"InChI=1S/C11H21NO4/c1-5-6-11(15)16-9(7-10(13)14)8-12(2,3)4/h9H,5-8H2,1-4H3",232,234,-1.73,0.000246,1.0,6.66,6.03,InChIKey=QWYFHHGCZUCMBN-UHFFFAOYSA-N,1,Butyrylcarnitine,C11H21NO4,InChIKey=QWYFHHGCZUCMBN-UHFFFAOYSA-N,231.147058165,-2.1,-3.7,0.052 g/L,231.2887,CCCC(=O)OC(CC([O-])=O)C[N+](C)(C)C,HMDB02013,"InChI=1S/C11H21NO4/c1-5-6-11(15)16-9(7-10(13)14)8-12(2,3)4/h9H,5-8H2,1-4H3",3,4.27,-7.1,0,-3.3,0,24.75,66.43,81.86,8,3-(butanoyloxy)-4-(trimethylazaniumyl)butanoate,3-(butanoyloxy)-4-(trimethylaminio)butanoate,"(3-carboxy-2-hydroxypropyl)trimethyl-L-butyrate;(R)-3-carboxy-N,N,N-trimethyl-2-(1-oxobutoxy)-1-Propanaminium;Butyryl-L-carnitine;Ester with (3-carboxy-2-hydroxypropyl)trimethylammonium  L-Butyric acid;Ester with L-(3-carboxy-2-hydroxypropyl)trimethylammonium Butyric acid;L-Carnitine butyryl ester;N-Butyryl-L(-)-carnitine;O-Butanoylcarnitine"
1-Methyl-Adenosine,MeA,"InChI=1S/C11H15N5O4/c1-15-3-14-10-6(9(15)12)13-4-16(10)11-8(19)7(18)5(2-17)20-11/h3-5,7-8,11-12,17-19H,2H2,1H3/t5-,7-,8-,11-/m1/s1",286,228,-1.82,0.000248,1.0,5.24,5.11,InChIKey=GFYLSDSUCHVORB-IOSLPCCCSA-N,1,1-Methyladenosine,C11H15N5O4,InChIKey=GFYLSDSUCHVORB-IOSLPCCCSA-N,281.112403993,-1.8,-1.6,7.33 g/L,281.2679,CN1C=NC2=C(N=CN2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C1=N,HMDB03331,"InChI=1S/C11H15N5O4/c1-15-3-14-10-6(9(15)12)13-4-16(10)11-8(19)7(18)5(2-17)20-11/h3-5,7-8,11-12,17-19H,2H2,1H3/t5-,7-,8-,11-/m1/s1",8,12.45,3.84,4,-2.1,0,27.56,127.19,79.1,2,"(2R,3S,4R,5R)-2-(hydroxymethyl)-5-(6-imino-1-methyl-6,9-dihydro-1H-purin-9-yl)oxolane-3,4-diol","(2R,3S,4R,5R)-2-(hydroxymethyl)-5-(6-imino-1-methylpurin-9-yl)oxolane-3,4-diol",1-Methyladenosine;N1-Methyladenosine
O-Octoyl-L-Carnitine,C8,"InChI=1S/C15H29NO4/c1-5-6-7-8-9-10-15(19)20-13(11-14(17)18)12-16(2,3)4/h13H,5-12H2,1-4H3/t13-/m1/s1",288,313,-0.64,0.000214,1.0,7.78,9.75,InChIKey=CXTATJFJDMJMIY-CYBMUJFWSA-N,1,L-Octanoylcarnitine,C15H29NO4,InChIKey=CXTATJFJDMJMIY-CYBMUJFWSA-N,287.209658421,-1.2,-5.6,8.500E-04 g/L,287.3951,CCCCCCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C,HMDB00791,"InChI=1S/C15H29NO4/c1-5-6-7-8-9-10-15(19)20-13(11-14(17)18)12-16(2,3)4/h13H,5-12H2,1-4H3/t13-/m1/s1",3,4.22,-7.1,0,-1.5,0,33.22,66.43,100.27,12,(3R)-3-(octanoyloxy)-4-(trimethylazaniumyl)butanoate,L-octanoylcarnitine,(-)-Octanoylcarnitine;L-Carnitine octanoyl ester;L-O-Octanoylcarnitine;L-Octanoylcarnitine;Octanoate;Octanoic acid;Octanoic acid ester with L-(3-carboxy-2-hydroxypropyl)trimethylammonium hydroxide inner salt;Octanoyl-L-carnitine;Octanoylcarnitine
