Name,Formula,Adduct,Dil_1_1,InChI,InChI_Key,cid,complexity,exact_mass,h_bond_acceptor_count,h_bond_donor_count,heavy_atom_count,molecular_formula,rotatable_bond_count,tpsa,xlogp
Hypoxanthine,C5H4N4O,M+H,64196896.0,"InChI=1S/C5H4N4O/c10-5-3-4(7-1-6-3)8-2-9-5/h1-2H,(H2,6,7,8,9,10)",FDGQSTZJBFJUBT-UHFFFAOYSA-N,790,190.0,136.038511,2,2,10,C5H4N4O,0,70.1,-1.1
Nicotinamide,C6H6N2O,M+H,949647488.0,"InChI=1S/C6H6N2O/c7-6(9)5-2-1-3-8-4-5/h1-4H,(H2,7,9)",DFPAKSUCGFBDDF-UHFFFAOYSA-N,936,114.0,122.048013,2,1,9,C6H6N2O,1,56.0,-0.4
5-Oxoproline,C5H7NO3,M+H,50486336.0,"InChI=1S/C5H7NO3/c7-4-2-1-3(6-4)5(8)9/h3H,1-2H2,(H,6,7)(H,8,9)",ODHCTXKNWHHXJC-UHFFFAOYSA-N,499,154.0,129.042593,3,2,9,C5H7NO3,1,66.4,-0.8
5'-Methylthioadenosine,C11H15N5O3S,M+H,574712128.0,"InChI=1S/C11H15N5O3S/c1-20-2-5-7(17)8(18)11(19-5)16-4-15-6-9(12)13-3-14-10(6)16/h3-5,7-8,11,17-18H,2H2,1H3,(H2,12,13,14)/t5-,7-,8-,11-/m1/s1",WUUGFSXJNOTRMR-IOSLPCCCSA-N,439176,352.0,297.08956,8,3,20,C11H15N5O3S,3,145.0,-0.3
Deoxyadenosine,C10H13N5O3,M+H,832378560.0,"InChI=1S/C10H13N5O3/c11-9-8-10(13-3-12-9)15(4-14-8)7-1-5(17)6(2-16)18-7/h3-7,16-17H,1-2H2,(H2,11,12,13)",OLXZPDWKRNYJJZ-UHFFFAOYSA-N,636,307.0,251.101839,7,3,18,C10H13N5O3,2,119.0,-0.5
L-Kynurenine,C10H12N2O3,M+H,74872584.0,"InChI=1S/C10H12N2O3/c11-7-4-2-1-3-6(7)9(13)5-8(12)10(14)15/h1-4,8H,5,11-12H2,(H,14,15)/t8-/m0/s1",YGPSJZOEDVAXAB-QMMMGPOBSA-N,161166,255.0,208.084792,5,3,15,C10H12N2O3,4,106.0,-2.2
Adenosine,C10H13N5O4,M+H,374068864.0,"InChI=1S/C10H13N5O4/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(18)6(17)4(1-16)19-10/h2-4,6-7,10,16-18H,1H2,(H2,11,12,13)/t4-,6-,7-,10-/m1/s1",OIRDTQYFTABQOQ-KQYNXXCUSA-N,60961,335.0,267.096754,8,4,19,C10H13N5O4,2,140.0,-1.1
Guanosine,C10H13N5O5,M+H,1366857.75,"InChI=1S/C10H13N5O5/c11-10-13-7-4(8(19)14-10)12-2-15(7)9-6(18)5(17)3(1-16)20-9/h2-3,5-6,9,16-18H,1H2,(H3,11,13,14,19)/t3-,5-,6-,9-/m1/s1",NYHBQMYGNKIUIF-UUOKFMHZSA-N,6802,446.0,283.091669,6,5,20,C10H13N5O5,2,155.0,-2.7
6-Methylaminopurine,C6H7N5,M+H,2129380992.0,"InChI=1S/C6H7N5/c1-7-5-4-6(10-2-8-4)11-3-9-5/h2-3H,1H3,(H2,7,8,9,10,11)",CKOMXBHMKXXTNW-UHFFFAOYSA-N,67955,139.0,149.070145,4,2,11,C6H7N5,1,66.5,0.6
L-isoleucine,C6H13NO2,M+H,565886656.0,"InChI=1S/C6H13NO2/c1-3-4(2)5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t4-,5-/m0/s1",AGPKZVBTJJNPAG-WHFBIAKZSA-N,6306,103.0,131.094629,3,2,9,C6H13NO2,3,63.3,-1.7
Picolinic acid,C6H5NO2,M+H,32810728.0,"InChI=1S/C6H5NO2/c8-6(9)5-3-1-2-4-7-5/h1-4H,(H,8,9)",SIOXPEMLGUPBBT-UHFFFAOYSA-N,1018,114.0,123.032028,3,1,9,C6H5NO2,1,50.2,0.8
Pyridoxal,C8H9NO3,M+H,194662880.0,"InChI=1S/C8H9NO3/c1-5-8(12)7(4-11)6(3-10)2-9-5/h2,4,10,12H,3H2,1H3",RADKZDMFGJYCBB-UHFFFAOYSA-N,1050,162.0,167.058243,4,2,12,C8H9NO3,2,70.4,0.0
